Timestamp,Value,Name,Pressure Event,Event Score,Status
"6/27/2016 8:30:00 PM","-2.291714794","Stn14","","",""
"6/27/2016 8:30:00 PM","-1.989100528","Stn15","","",""
"6/27/2016 8:30:00 PM","-1.825785098","Stn16","","",""
"6/27/2016 8:30:00 PM","-0.272482134","Stn30","","",""
"6/27/2016 8:30:00 PM","-3.233544351","Stn31","","",""
"6/27/2016 8:30:00 PM","-1.83124274","Stn55","","",""
"6/27/2016 8:45:00 PM","-1.311134732","Stn12","","",""
"6/27/2016 8:45:00 PM","-1.004961405","Stn13","","",""
"6/27/2016 8:45:00 PM","-1.597902357","Stn14","","",""
"6/27/2016 8:45:00 PM","-1.252589914","Stn16","","",""
"6/27/2016 8:45:00 PM","-2.485553217","Stn31","","",""
"6/27/2016 8:45:00 PM","-1.160490075","Stn55","","",""
"6/27/2016 9:00:00 PM","-1.173898643","Stn12","","",""
"6/27/2016 9:00:00 PM","-1.56698394","Stn13","","",""
"6/27/2016 9:00:00 PM","-0.803721699","Stn14","","",""
"6/27/2016 9:00:00 PM","-0.283281473","Stn16","","",""
"6/27/2016 9:00:00 PM","-1.090409036","Stn31","","",""
"6/27/2016 9:00:00 PM","-0.131424573","Stn55","","",""
"6/27/2016 9:15:00 PM","-1.760285187","Stn13","","",""
"6/27/2016 9:15:00 PM","-0.026404848","Stn31","","",""
"6/27/2016 9:30:00 PM","-1.943656174","Stn13","","",""
"6/27/2016 9:30:00 PM","-0.455566936","Stn31","","",""
"6/27/2016 9:45:00 PM","-2.411831862","Stn13","","",""
"6/27/2016 10:00:00 PM","-0.669129698","Stn13","","",""
"6/27/2016 10:00:00 PM","-0.419998379","Stn14","","",""
"6/27/2016 10:00:00 PM","-0.244572699","Stn31","","",""
"6/27/2016 10:00:00 PM","-0.870923792","Stn55","","",""
"6/27/2016 10:15:00 PM","-3.259198033","Stn13","","",""
"6/27/2016 10:15:00 PM","-1.688023464","Stn14","","",""
"6/27/2016 10:15:00 PM","-0.16782726","Stn15","","",""
"6/27/2016 10:15:00 PM","-1.144151713","Stn16","","",""
"6/27/2016 10:15:00 PM","-1.303970214","Stn31","","",""
"6/27/2016 10:15:00 PM","-1.795255449","Stn55","","",""
"6/27/2016 10:30:00 PM","-0.583612113","Stn12","","",""
"6/27/2016 10:30:00 PM","-2.229064596","Stn13","","",""
"6/27/2016 10:30:00 PM","-1.8127982","Stn14","","",""
"6/27/2016 10:30:00 PM","-0.635033453","Stn15","","",""
"6/27/2016 10:30:00 PM","-1.681313418","Stn16","","",""
"6/27/2016 10:30:00 PM","-2.053562678","Stn31","","",""
"6/27/2016 10:30:00 PM","-1.414422474","Stn55","","",""
"6/27/2016 10:45:00 PM","-1.114088292","Stn12","","",""
"6/27/2016 10:45:00 PM","-4.264201288","Stn13","","",""
"6/27/2016 10:45:00 PM","-1.200467304","Stn14","","",""
"6/27/2016 10:45:00 PM","-0.301519412","Stn15","","",""
"6/27/2016 10:45:00 PM","-1.609466964","Stn16","","",""
"6/27/2016 10:45:00 PM","-1.249318659","Stn31","","",""
"6/27/2016 10:45:00 PM","-1.198047606","Stn55","","",""
"6/27/2016 11:00:00 PM","-0.9585265","Stn12","","",""
"6/27/2016 11:00:00 PM","-2.704547217","Stn13","","",""
"6/27/2016 11:00:00 PM","-0.653652513","Stn16","","",""
"6/27/2016 11:15:00 PM","-0.075887948","Stn12","","",""
"6/27/2016 11:15:00 PM","-4.048036179","Stn13","","",""
"6/27/2016 11:30:00 PM","-4.136082813","Stn13","","",""
"6/27/2016 11:45:00 PM","-2.33252629","Stn13","","",""
"6/28/2016 12:00:00 AM","-2.140667944","Stn13","","",""
"6/28/2016 12:00:00 AM","-0.842301468","Stn14","","",""
"6/28/2016 12:00:00 AM","-0.233327604","Stn15","","",""
"6/28/2016 12:00:00 AM","-1.37656119","Stn16","","",""
"6/28/2016 12:00:00 AM","-0.658261636","Stn31","","",""
"6/28/2016 12:00:00 AM","-0.952509847","Stn55","","",""
"6/28/2016 12:15:00 AM","-0.109843629","Stn12","","",""
"6/28/2016 12:15:00 AM","-2.457315461","Stn13","","",""
"6/28/2016 12:30:00 AM","-1.51699538","Stn13","","",""
"6/28/2016 12:30:00 AM","-2.109827425","Stn14","","",""
"6/28/2016 12:30:00 AM","-1.68647866","Stn15","","",""
"6/28/2016 12:30:00 AM","-1.657113042","Stn16","","",""
"6/28/2016 12:30:00 AM","-2.204993921","Stn31","","",""
"6/28/2016 12:30:00 AM","-2.54934138","Stn55","","",""
"6/28/2016 12:45:00 AM","-1.178616599","Stn12","","",""
"6/28/2016 12:45:00 AM","-1.554093058","Stn13","","",""
"6/28/2016 1:00:00 AM","-1.231470291","Stn13","","",""
"6/28/2016 1:15:00 AM","-0.289647688","Stn13","","",""
"6/28/2016 1:30:00 AM","-0.642695282","Stn13","","",""
"6/28/2016 2:15:00 AM","0.11002769","Flow","18","0.02","True Positive"
"6/28/2016 6:00:00 AM","-1.190005068","Stn14","19","2.25381813909774","True Positive"
"6/28/2016 6:00:00 AM","-0.577934746","Stn15","","",""
"6/28/2016 6:00:00 AM","-0.747574846","Stn16","","",""
"6/28/2016 6:00:00 AM","-1.18663495","Stn31","","",""
"6/28/2016 6:00:00 AM","-1.592840002","Stn55","","",""
"6/28/2016 6:15:00 AM","-3.367744953","Stn14","","",""
"6/28/2016 6:15:00 AM","-1.389147376","Stn15","","",""
"6/28/2016 6:15:00 AM","-2.430604204","Stn16","","",""
"6/28/2016 6:15:00 AM","-0.376570372","Stn30","","",""
"6/28/2016 6:15:00 AM","-3.082943688","Stn31","","",""
"6/28/2016 6:15:00 AM","-3.806394892","Stn55","","",""
"6/28/2016 6:30:00 AM","-1.2919958","Stn12","","",""
"6/28/2016 6:30:00 AM","-1.673701589","Stn14","","",""
"6/28/2016 6:30:00 AM","-1.497995481","Stn16","","",""
"6/28/2016 6:30:00 AM","-0.137659774","Stn30","","",""
"6/28/2016 6:30:00 AM","-1.868613934","Stn31","","",""
"6/28/2016 6:30:00 AM","-2.199936576","Stn55","","",""
"6/28/2016 6:45:00 AM","-0.265247683","Stn12","","",""
"6/28/2016 6:45:00 AM","-0.025999898","Stn31","","",""
"6/28/2016 7:00:00 AM","-1.028602809","Stn13","","",""
"6/28/2016 7:00:00 AM","-0.511921541","Stn31","","",""
"6/28/2016 7:00:00 AM","-0.060675865","Stn55","","",""
"6/28/2016 7:15:00 AM","-1.417452302","Stn13","","",""
"6/28/2016 7:15:00 AM","-0.354832007","Stn14","","",""
"6/28/2016 7:15:00 AM","-0.779059153","Stn31","","",""
"6/28/2016 7:15:00 AM","-0.87584306","Stn55","","",""
"6/28/2016 7:30:00 AM","-2.971086343","Stn13","","",""
"6/28/2016 7:30:00 AM","-1.35933499","Stn14","","",""
"6/28/2016 7:30:00 AM","-0.77387862","Stn15","","",""
"6/28/2016 7:30:00 AM","-0.954669122","Stn16","","",""
"6/28/2016 7:30:00 AM","-1.925913106","Stn31","","",""
"6/28/2016 7:30:00 AM","-1.896570417","Stn55","","",""
"6/28/2016 7:45:00 AM","-0.50502239","Stn12","","",""
"6/28/2016 7:45:00 AM","-1.729788845","Stn13","","",""
"6/28/2016 7:45:00 AM","-0.861214052","Stn31","","",""
"6/28/2016 8:00:00 AM","-0.086289633","Stn12","","",""
"6/28/2016 8:00:00 AM","-2.170146715","Stn13","","",""
"6/28/2016 8:15:00 AM","-0.762992587","Stn13","","",""
"6/28/2016 8:30:00 AM","-1.212424633","Stn13","","",""
"6/28/2016 8:45:00 AM","-1.603392512","Stn13","","",""
"6/28/2016 9:00:00 AM","-1.791185636","Stn13","","",""
"6/28/2016 9:15:00 AM","-3.834238676","Stn13","","",""
"6/28/2016 9:30:00 AM","-3.816196415","Stn13","","",""
"6/28/2016 9:45:00 AM","-3.699173023","Stn13","","",""
"6/28/2016 9:45:00 AM","-1.700201702","Stn14","","",""
"6/28/2016 9:45:00 AM","-0.67035288","Stn15","","",""
"6/28/2016 9:45:00 AM","-1.014738648","Stn16","","",""
"6/28/2016 9:45:00 AM","-0.32429294","Stn20","","",""
"6/28/2016 9:45:00 AM","-0.451358452","Stn29","","",""
"6/28/2016 9:45:00 AM","-1.214592945","Stn30","","",""
"6/28/2016 9:45:00 AM","-2.388674142","Stn31","","",""
"6/28/2016 9:45:00 AM","-1.975289427","Stn55","","",""
"6/28/2016 10:00:00 AM","-1.758331415","Stn12","","",""
"6/28/2016 10:00:00 AM","-2.206343756","Stn13","","",""
"6/28/2016 10:00:00 AM","-0.542365493","Stn14","","",""
"6/28/2016 10:00:00 AM","-0.463993068","Stn16","","",""
"6/28/2016 10:00:00 AM","-0.163504934","Stn29","","",""
"6/28/2016 10:00:00 AM","-0.890251278","Stn30","","",""
"6/28/2016 10:00:00 AM","-1.475470208","Stn31","","",""
"6/28/2016 10:00:00 AM","-0.292226837","Stn55","","",""
"6/28/2016 10:15:00 AM","-1.153898404","Stn12","","",""
"6/28/2016 10:15:00 AM","-0.145567314","Stn14","","",""
"6/28/2016 10:15:00 AM","-0.14085865","Stn16","","",""
"6/28/2016 10:15:00 AM","-1.479477135","Stn31","","",""
"6/28/2016 10:15:00 AM","-0.035172579","Stn55","","",""
"6/28/2016 10:30:00 AM","-0.848007094","Stn12","","",""
"6/28/2016 10:30:00 AM","-0.771602061","Stn14","","",""
"6/28/2016 10:30:00 AM","-0.04947042","Stn15","","",""
"6/28/2016 10:30:00 AM","-0.808764395","Stn16","","",""
"6/28/2016 10:30:00 AM","-0.051787107","Stn30","","",""
"6/28/2016 10:30:00 AM","-1.944616761","Stn31","","",""
